Driver,AverageLap,Consistency,FastestLap,TotalLaps,MainCompound
LEC,98.81743646408839,176.45495008736995,75.162,181,HARD
PIA,98.18383516483516,176.14095138019965,76.281,182,HARD
SAI,98.46813186813189,176.41966037954938,74.726,182,HARD
NOR,98.2309010989011,176.81976156174568,75.742,182,HARD
RUS,99.01114110429447,187.33581543066597,75.228,163,MEDIUM
VER,98.45685164835166,177.62228213017804,74.569,182,MEDIUM
HAM,98.397010989011,177.98902461920204,74.165,182,MEDIUM
TSU,105.13288235294118,206.1729898491056,74.72,136,HARD
ALB,100.07271978021978,178.72251437135554,77.06,182,HARD
GAS,101.97570542635658,212.6820667460736,75.625,129,MEDIUM
ALO,100.3274364640884,180.54329946729183,77.939,181,MEDIUM
RIC,100.64440555555555,180.62241564556453,77.172,180,HARD
BOT,101.09977653631286,182.15841052789986,76.561,179,HARD
STR,100.71879999999999,180.26268550194516,76.71,180,MEDIUM
SAR,106.56717968750002,214.9525115615197,75.525,128,HARD
ZHO,102.09624157303371,182.98364431326004,74.718,178,HARD
OCO,92.65810784313727,8.911371974808551,84.343,102,MEDIUM
PER,92.23241747572814,9.925669003505133,82.971,103,HARD
HUL,91.48440384615385,8.234814697214553,83.275,104,HARD
MAG,91.20229523809526,8.230473476804415,83.437,105,MEDIUM
COL,86.07613207547169,3.3959320009825773,83.728,53,HARD
